"","Geneid","SYMBOL","NCBI_GeneID","Ensembl_GeneID","gene_biotype","Chr","Start","End","Strand","Length"
"gene-LOC124417587","gene-LOC124417587","LOC124417587",124417587,"","lncRNA","NC_052532.1","50909761","50916249","-",3178
"gene-LOC107053682","gene-LOC107053682","LOC107053682",107053682,"","lncRNA","NC_052532.1","51088280","51092185","-",3130
"gene-LOC121108499","gene-LOC121108499","LOC121108499",121108499,"","lncRNA","NC_052532.1","51225234","51235151","+",9790
"gene-LOC107053630","gene-LOC107053630","LOC107053630",107053630,"","lncRNA","NC_052532.1","52019342","52024609","-",2101
"gene-LOC107053589","gene-LOC107053589","LOC107053589",107053589,"","lncRNA","NC_052532.1","52701431","52718127","-",13636
"gene-LOC101749091","gene-LOC101749091","LOC101749091",101749091,"","lncRNA","NC_052532.1","53599263","53617546","-",16818
"gene-LOC112533502","gene-LOC112533502","LOC112533502",112533502,"","lncRNA","NC_052532.1","53617795","53636128","-",12020
"gene-LOC121107117","gene-LOC121107117","LOC121107117",121107117,"","lncRNA","NC_052532.1","54282750","54289326","-",6475
"gene-LOC121107114","gene-LOC121107114","LOC121107114",121107114,"","lncRNA","NC_052532.1","54339072","54361869","-",10654
"gene-LOC121109113","gene-LOC121109113","LOC121109113",121109113,"","lncRNA","NC_052532.1","54745693","54749196","+",3407
"gene-LOC121109120","gene-LOC121109120","LOC121109120",121109120,"","lncRNA","NC_052532.1","55527095","55537182","+",8809
"gene-LOC121109132","gene-LOC121109132","LOC121109132",121109132,"","lncRNA","NC_052532.1","55559318","55565893","-",1642
"gene-LOC112533565","gene-LOC112533565","LOC112533565",112533565,"","lncRNA","NC_052532.1","56572209","56665910","-",23041
"gene-LOC121109483","gene-LOC121109483","LOC121109483",121109483,"","lncRNA","NC_052532.1","57305144","57316317","+",7802
"gene-LOC121109080","gene-LOC121109080","LOC121109080",121109080,"","lncRNA","NC_052532.1","58906554","58948394","-",6087
"gene-LOC107053437","gene-LOC107053437","LOC107053437",107053437,"","lncRNA","NC_052532.1","60276766","60286701","+",3210
"gene-LOC121107292","gene-LOC121107292","LOC121107292",121107292,"","lncRNA","NC_052532.1","60513754","60533385","-",19065
"gene-LOC121108239","gene-LOC121108239","LOC121108239",121108239,"","lncRNA","NC_052532.1","61890835","61893132","-",830
"gene-LOC107053357","gene-LOC107053357","LOC107053357",107053357,"","lncRNA","NC_052532.1","62123638","62128670","-",1929
"gene-LOC107053352","gene-LOC107053352","LOC107053352",107053352,"","lncRNA","NC_052532.1","62154670","62161678","+",6148
"gene-LOC107054199","gene-LOC107054199","LOC107054199",107054199,"","lncRNA","NC_052532.1","63167133","63168732","-",723
"gene-LOC101747667","gene-LOC101747667","LOC101747667",101747667,"","lncRNA","NC_052532.1","64660088","64821631","+",11608
"gene-LOC101748166","gene-LOC101748166","LOC101748166",101748166,"","lncRNA","NC_052532.1","65410218","65418620","-",1802
"gene-LOC121108365","gene-LOC121108365","LOC121108365",121108365,"","lncRNA","NC_052532.1","66062192","66065496","-",1112
"gene-LOC121109058","gene-LOC121109058","LOC121109058",121109058,"","lncRNA","NC_052532.1","67262070","67267876","+",5501
"gene-LOC107054089","gene-LOC107054089","LOC107054089",107054089,"","lncRNA","NC_052532.1","67301096","67325083","-",22996
"gene-LOC121109063","gene-LOC121109063","LOC121109063",121109063,"","lncRNA","NC_052532.1","67645385","67666264","-",3109
"gene-LOC121107178","gene-LOC121107178","LOC121107178",121107178,"","lncRNA","NC_052532.1","68383506","68387520","+",3838
"gene-LOC107054014","gene-LOC107054014","LOC107054014",107054014,"","lncRNA","NC_052532.1","69806818","69819210","-",11486
"gene-LOC107053999","gene-LOC107053999","LOC107053999",107053999,"","lncRNA","NC_052532.1","70066401","70073972","+",5650
"gene-LOC107053991","gene-LOC107053991","LOC107053991",107053991,"","lncRNA","NC_052532.1","72024422","72030026","+",5332
"gene-LOC121106764","gene-LOC121106764","LOC121106764",121106764,"","lncRNA","NC_052532.1","72243151","72251851","+",4525
"gene-LOC101751866","gene-LOC101751866","LOC101751866",101751866,"","lncRNA","NC_052532.1","72267256","72271381","+",4035
"gene-LOC107054297","gene-LOC107054297","LOC107054297",107054297,"","lncRNA","NC_052532.1","72967696","72973728","-",4564
"gene-LOC121106532","gene-LOC121106532","LOC121106532",121106532,"","lncRNA","NC_052532.1","73179708","73228896","+",1566
"gene-LOC112530139","gene-LOC112530139","LOC112530139",112530139,"","lncRNA","NC_052532.1","73560998","73563043","+",1452
"gene-LOC124417656","gene-LOC124417656","LOC124417656",124417656,"","lncRNA","NC_052532.1","75539782","75574649","+",3835
"gene-LOC112530151","gene-LOC112530151","LOC112530151",112530151,"","lncRNA","NC_052532.1","75679619","75694666","+",3941
"gene-LOC101748309","gene-LOC101748309","LOC101748309",101748309,"","lncRNA","NC_052532.1","75697659","75722712","+",19154
"gene-LOC121107507","gene-LOC121107507","LOC121107507",121107507,"","lncRNA","NC_052532.1","75824725","75828568","-",1648
"gene-LOC112530152","gene-LOC112530152","LOC112530152",112530152,"","lncRNA","NC_052532.1","75829893","75832280","-",2084
"gene-LOC124417614","gene-LOC124417614","LOC124417614",124417614,"","lncRNA","NC_052532.1","77032847","77039032","+",5862
"gene-LOC100859057","gene-LOC100859057","LOC100859057",100859057,"","lncRNA","NC_052532.1","77121826","77122952","+",776
"gene-LOC121107025","gene-LOC121107025","LOC121107025",121107025,"","lncRNA","NC_052532.1","77718744","77729935","+",1917
"gene-LOC100859625","gene-LOC100859625","LOC100859625",100859625,"","lncRNA","NC_052532.1","78375020","78387703","-",10897
"gene-LOC112532780","gene-LOC112532780","LOC112532780",112532780,"","lncRNA","NC_052532.1","78614530","78629925","-",381
"gene-LOC121109310","gene-LOC121109310","LOC121109310",121109310,"","lncRNA","NC_052532.1","79246492","79250998","+",1920
"gene-LOC107054727","gene-LOC107054727","LOC107054727",107054727,"","lncRNA","NC_052532.1","79267983","79289012","-",7338
"gene-LOC121109311","gene-LOC121109311","LOC121109311",121109311,"","lncRNA","NC_052532.1","79467576","79468617","-",767
"gene-LOC112530292","gene-LOC112530292","LOC112530292",112530292,"","lncRNA","NC_052532.1","80326332","80336847","+",10072
"gene-LOC121106585","gene-LOC121106585","LOC121106585",121106585,"","lncRNA","NC_052532.1","80631132","80636725","+",4625
"gene-LOC101750994","gene-LOC101750994","LOC101750994",101750994,"","lncRNA","NC_052532.1","81966591","81985896","-",9651
"gene-LOC121106604","gene-LOC121106604","LOC121106604",121106604,"","lncRNA","NC_052532.1","83078768","83086876","+",4137
"gene-LOC121106631","gene-LOC121106631","LOC121106631",121106631,"","lncRNA","NC_052532.1","83534831","83540637","+",4624
"gene-LOC101747966","gene-LOC101747966","LOC101747966",101747966,"","lncRNA","NC_052532.1","84426250","84428589","+",1935
"gene-LOC107054896","gene-LOC107054896","LOC107054896",107054896,"","lncRNA","NC_052532.1","84455765","84464432","-",4075
"gene-LOC124417086","gene-LOC124417086","LOC124417086",124417086,"","lncRNA","NC_052532.1","85649773","85666432","-",14415
"gene-LOC101751371","gene-LOC101751371","LOC101751371",101751371,"","lncRNA","NC_052532.1","86853520","86880581","-",15984
"gene-LOC121109109","gene-LOC121109109","LOC121109109",121109109,"","lncRNA","NC_052532.1","87738542","87747369","+",5928
"gene-LOC121109297","gene-LOC121109297","LOC121109297",121109297,"","lncRNA","NC_052532.1","89626712","89639001","-",1775
"gene-LOC101750039","gene-LOC101750039","LOC101750039",101750039,"","lncRNA","NC_052532.1","89964214","89988910","+",16980
"gene-LOC101750283","gene-LOC101750283","LOC101750283",101750283,"","lncRNA","NC_052532.1","90650719","90710763","-",16938
"gene-LOC124417669","gene-LOC124417669","LOC124417669",124417669,"","lncRNA","NC_052532.1","91954180","91980923","+",11886
"gene-LOC107055079","gene-LOC107055079","LOC107055079",107055079,"","lncRNA","NC_052532.1","92600951","92621552","+",13742
"gene-LOC112530509","gene-LOC112530509","LOC112530509",112530509,"","lncRNA","NC_052532.1","95154490","95261194","+",4658
"gene-LOC121107710","gene-LOC121107710","LOC121107710",121107710,"","lncRNA","NC_052532.1","96191010","96241237","-",20205
"gene-LOC121109039","gene-LOC121109039","LOC121109039",121109039,"","lncRNA","NC_052532.1","98431120","98448551","-",3852
"gene-LOC112530514","gene-LOC112530514","LOC112530514",112530514,"","lncRNA","NC_052532.1","98665324","98719921","-",11303
"gene-LOC121106499","gene-LOC121106499","LOC121106499",121106499,"","lncRNA","NC_052532.1","99257670","99289954","+",3179
"gene-LOC121109146","gene-LOC121109146","LOC121109146",121109146,"","lncRNA","NC_052532.1","101942047","101951871","-",6801
"gene-LOC107055362","gene-LOC107055362","LOC107055362",107055362,"","lncRNA","NC_052532.1","105678576","105693670","+",12363
"gene-LOC121107521","gene-LOC121107521","LOC121107521",121107521,"","lncRNA","NC_052532.1","107174619","107194041","-",6418
"gene-LOC121107536","gene-LOC121107536","LOC121107536",121107536,"","lncRNA","NC_052532.1","108936545","108944191","-",6103
"gene-LOC124417893","gene-LOC124417893","LOC124417893",124417893,"","lncRNA","NC_052532.1","111060589","111087964","+",2438
"gene-LOC107055549","gene-LOC107055549","LOC107055549",107055549,"","lncRNA","NC_052532.1","111065317","111073631","-",3954
"gene-LOC101750030","gene-LOC101750030","LOC101750030",101750030,"","lncRNA","NC_052532.1","111842034","111886937","-",8768
"gene-LOC121109949","gene-LOC121109949","LOC121109949",121109949,"","lncRNA","NC_052532.1","112081078","112087912","-",6147
"gene-LOC107056757","gene-LOC107056757","LOC107056757",107056757,"","lncRNA","NC_052532.1","112312766","112326323","-",12507
"gene-LOC107057076","gene-LOC107057076","LOC107057076",107057076,"","lncRNA","NC_052532.1","112576340","112605484","+",8756
"gene-LOC101751443","gene-LOC101751443","LOC101751443",101751443,"","lncRNA","NC_052532.1","112613597","112623923","+",5882
"gene-LOC121109445","gene-LOC121109445","LOC121109445",121109445,"","lncRNA","NC_052532.1","112842479","112861855","+",6909
"gene-LOC121108996","gene-LOC121108996","LOC121108996",121108996,"","lncRNA","NC_052532.1","117856544","117868104","-",6844
"gene-LOC124417672","gene-LOC124417672","LOC124417672",124417672,"","lncRNA","NC_052532.1","117962724","117966074","-",3050
"gene-LOC101749759","gene-LOC101749759","LOC101749759",101749759,"","lncRNA","NC_052532.1","118146400","118147808","+",1109
"gene-LOC121109097","gene-LOC121109097","LOC121109097",121109097,"","lncRNA","NC_052532.1","118301674","118308199","+",1614
"gene-LOC107049214","gene-LOC107049214","LOC107049214",107049214,"","lncRNA","NC_052532.1","118318726","118332463","+",2128
"gene-LOC107049256","gene-LOC107049256","LOC107049256",107049256,"","lncRNA","NC_052532.1","119147294","119156249","+",7564
"gene-LOC121108909","gene-LOC121108909","LOC121108909",121108909,"","lncRNA","NC_052532.1","119687945","119739813","-",9726
"gene-LOC121106840","gene-LOC121106840","LOC121106840",121106840,"","lncRNA","NC_052532.1","120286644","120288718","-",1750
"gene-LOC107049616","gene-LOC107049616","LOC107049616",107049616,"","lncRNA","NC_052532.1","122411796","122432735","+",6267
"gene-LOC124417599","gene-LOC124417599","LOC124417599",124417599,"","lncRNA","NC_052532.1","123265151","123268909","+",1566
"gene-LOC112531499","gene-LOC112531499","LOC112531499",112531499,"","lncRNA","NC_052532.1","123910139","123933173","+",8683
"gene-LOC124417601","gene-LOC124417601","LOC124417601",124417601,"","lncRNA","NC_052532.1","124122527","124132110","+",4197
"gene-LOC112531502","gene-LOC112531502","LOC112531502",112531502,"","lncRNA","NC_052532.1","125547662","125575469","+",2658
"gene-LOC107051962","gene-LOC107051962","LOC107051962",107051962,"","lncRNA","NC_052532.1","130303690","130309965","+",2755
"gene-LOC101748607","gene-LOC101748607","LOC101748607",101748607,"","lncRNA","NC_052532.1","130487258","130488775","-",1518
"gene-LOC121108984","gene-LOC121108984","LOC121108984",121108984,"","lncRNA","NC_052532.1","133544277","133553342","-",3478
"gene-LOC107051969","gene-LOC107051969","LOC107051969",107051969,"","lncRNA","NC_052532.1","134372914","134393455","-",3283
"gene-LOC101750998","gene-LOC101750998","LOC101750998",101750998,"","lncRNA","NC_052532.1","135035808","135072838","-",12740
"gene-LOC121106671","gene-LOC121106671","LOC121106671",121106671,"","lncRNA","NC_052532.1","135505030","135518278","+",9331
"gene-LOC112531517","gene-LOC112531517","LOC112531517",112531517,"","lncRNA","NC_052532.1","135595254","135602083","+",4654
"gene-LOC121109527","gene-LOC121109527","LOC121109527",121109527,"","lncRNA","NC_052532.1","135793776","135800555","-",5451
"gene-LOC121109031","gene-LOC121109031","LOC121109031",121109031,"","lncRNA","NC_052532.1","136596466","136618705","+",21535
"gene-LOC121109158","gene-LOC121109158","LOC121109158",121109158,"","lncRNA","NC_052532.1","138030575","138037576","+",6408
"gene-LOC101749095","gene-LOC101749095","LOC101749095",101749095,"","lncRNA","NC_052532.1","138668850","138686686","+",15294
"gene-LOC124417133","gene-LOC124417133","LOC124417133",124417133,"","lncRNA","NC_052532.1","139211068","139213632","+",1850
"gene-LOC121109165","gene-LOC121109165","LOC121109165",121109165,"","lncRNA","NC_052532.1","139282488","139288492","+",5119
"gene-LOC112531536","gene-LOC112531536","LOC112531536",112531536,"","lncRNA","NC_052532.1","144482487","144484993","-",1960
"gene-LOC107051115","gene-LOC107051115","LOC107051115",107051115,"","lncRNA","NC_052532.1","145121327","145128280","+",4363
"gene-LOC121107104","gene-LOC121107104","LOC121107104",121107104,"","lncRNA","NC_052532.1","145854193","145864449","-",7780
"gene-LOC121107106","gene-LOC121107106","LOC121107106",121107106,"","lncRNA","NC_052532.1","146006621","146014663","-",5500
"gene-LOC124417403","gene-LOC124417403","LOC124417403",124417403,"","lncRNA","NC_052532.1","153049889","153065438","-",7103
"gene-LOC101750204","gene-LOC101750204","LOC101750204",101750204,"","lncRNA","NC_052532.1","167391724","167400728","+",5478
"gene-LOC121109141","gene-LOC121109141","LOC121109141",121109141,"","lncRNA","NC_052532.1","169134103","169141085","+",3968
"gene-LOC112531567","gene-LOC112531567","LOC112531567",112531567,"","lncRNA","NC_052532.1","169210936","169216170","+",3137
"gene-LOC124417627","gene-LOC124417627","LOC124417627",124417627,"","lncRNA","NC_052532.1","169274103","169300115","-",5419
"gene-LOC101748122","gene-LOC101748122","LOC101748122",101748122,"","lncRNA","NC_052532.1","169361493","169391708","+",14933
"gene-LOC124417169","gene-LOC124417169","LOC124417169",124417169,"","lncRNA","NC_052532.1","169798195","169801021","+",2794
"gene-LOC101748649","gene-LOC101748649","LOC101748649",101748649,"","lncRNA","NC_052532.1","170020606","170032643","+",3733
"gene-LOC107051698","gene-LOC107051698","LOC107051698",107051698,"","lncRNA","NC_052532.1","170023808","170038308","-",6282
"gene-LOC112531572","gene-LOC112531572","LOC112531572",112531572,"","lncRNA","NC_052532.1","170102024","170109346","-",6196
"gene-LOC107052027","gene-LOC107052027","LOC107052027",107052027,"","lncRNA","NC_052532.1","171090108","171109750","+",776
"gene-LOC107052100","gene-LOC107052100","LOC107052100",107052100,"","lncRNA","NC_052532.1","175021146","175073933","-",7649
"gene-LOC121113404","gene-LOC121113404","LOC121113404",121113404,"","lncRNA","NC_052532.1","176863538","176872082","-",8448
"gene-LOC121109126","gene-LOC121109126","LOC121109126",121109126,"","lncRNA","NC_052532.1","177416371","177421151","+",4520
"gene-LOC121109130","gene-LOC121109130","LOC121109130",121109130,"","lncRNA","NC_052532.1","178271503","178284448","-",5674
"gene-LOC100859643","gene-LOC100859643","LOC100859643",100859643,"","lncRNA","NC_052532.1","178492315","178500117","+",5480
"gene-LOC124417158","gene-LOC124417158","LOC124417158",124417158,"","lncRNA","NC_052532.1","179460162","179477457","+",12987
"gene-LOC121107599","gene-LOC121107599","LOC121107599",121107599,"","lncRNA","NC_052532.1","179562769","179570111","+",6043
"gene-LOC121109183","gene-LOC121109183","LOC121109183",121109183,"","lncRNA","NC_052532.1","180325271","180337784","+",2634
"gene-LOC121109136","gene-LOC121109136","LOC121109136",121109136,"","lncRNA","NC_052532.1","182234783","182247776","-",4535
"gene-LOC124417349","gene-LOC124417349","LOC124417349",124417349,"","lncRNA","NC_052532.1","182468613","182479514","+",7086
"gene-LOC121107201","gene-LOC121107201","LOC121107201",121107201,"","lncRNA","NC_052532.1","182589872","182593209","+",2513
"gene-LOC107052369","gene-LOC107052369","LOC107052369",107052369,"","lncRNA","NC_052532.1","185270764","185278757","-",4401
"gene-LOC107052320","gene-LOC107052320","LOC107052320",107052320,"","lncRNA","NC_052532.1","187748402","187751720","+",2473
"gene-LOC121107450","gene-LOC121107450","LOC121107450",121107450,"","lncRNA","NC_052532.1","188066515","188090717","-",8116
"gene-LOC107052318","gene-LOC107052318","LOC107052318",107052318,"","lncRNA","NC_052532.1","188606360","188614574","+",2097
"gene-LOC107052309","gene-LOC107052309","LOC107052309",107052309,"","lncRNA","NC_052532.1","188663250","188682682","+",2682
"gene-LOC121106717","gene-LOC121106717","LOC121106717",121106717,"","lncRNA","NC_052532.1","188894139","188903432","+",6999
"gene-LOC107052306","gene-LOC107052306","LOC107052306",107052306,"","lncRNA","NC_052532.1","188999019","189015898","+",16011
"gene-LOC101751262","gene-LOC101751262","LOC101751262",101751262,"","lncRNA","NC_052532.1","190088908","190108673","-",3787
"gene-LOC112531602","gene-LOC112531602","LOC112531602",112531602,"","lncRNA","NC_052532.1","192659867","192662074","+",1881
"gene-LOC107052451","gene-LOC107052451","LOC107052451",107052451,"","lncRNA","NC_052532.1","193628873","193649977","+",16901
"gene-LOC107052476","gene-LOC107052476","LOC107052476",107052476,"","lncRNA","NC_052532.1","194389134","194400907","+",11224
"gene-LOC121109224","gene-LOC121109224","LOC121109224",121109224,"","lncRNA","NC_052532.1","194830603","194840475","-",7026
"gene-LOC101751623","gene-LOC101751623","LOC101751623",101751623,"","lncRNA","NC_052532.1","195375865","195379692","+",1280
"gene-LOC121109258","gene-LOC121109258","LOC121109258",121109258,"","lncRNA","NC_052532.1","195386559","195406681","+",11575
"gene-LOC124418180","gene-LOC124418180","LOC124418180",124418180,"","lncRNA","NC_052533.1","816151","821582","-",3603
"gene-LOC107052484","gene-LOC107052484","LOC107052484",107052484,"","lncRNA","NC_052533.1","2012618","2019488","-",5931
"gene-LOC101752077","gene-LOC101752077","LOC101752077",101752077,"","lncRNA","NC_052533.1","3579652","3590306","-",5829
"gene-LOC121110138","gene-LOC121110138","LOC121110138",121110138,"","lncRNA","NC_052533.1","3960010","3964470","+",2937
"gene-LOC420411","gene-LOC420411","LOC420411",420411,"","lncRNA","NC_052533.1","4063393","4065477","+",756
"gene-LOC101748420","gene-LOC101748420","LOC101748420",101748420,"","lncRNA","NC_052533.1","4395525","4406865","+",6192
"gene-LOC112531926","gene-LOC112531926","LOC112531926",112531926,"","lncRNA","NC_052533.1","4465701","4489422","-",9940
